ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL|PRI_PVEM|PRD_PT_MC|PRD_PT|PRD_MC|PT_MC
11|14|7031|42|133428|140459|50059|34213|20722|7408|1980|6001|3794|6148|1902|824|236|99
15|15|5634|130|171320|176954|61417|41993|30954|4605|4293|3033|5687|10418|6558|1606|408|218
3|2|11389|106|122923|134312|45484|41909|14094|4442|2928|2613|5012||4513|1367|291|164
28|2|10631|71|161440|172071|61034|57646|17887|6208|3620|2268|6873||4401|1062|241|129
2|4|3558|55|154169|157727|41986|38008|24966|6257|9054|3213|10663|9808|7144|2305|424|286
11|4|9126|116|161472|170598|65076|55492|11441|8426|2655|2005|6737|7695|1229|437|91|72
15|34|5721|152|179748|185469|49813|68662|24128|4421|2917|2039|7622|14588|3792|1235|250|129
15|33|7058|177|198109|205167|27404|65412|41609|5675|6380|19238|7513|13730|7859|1633|1006|473
21|12|6144|152|178258|184402|58671|32864|29592|4554|7872|4046|14123|11497|11720|2235|472|460
19|3|4237|86|179433|183670|72940|67118|11112|4234|5653|1292|4966|8597|2335|870|113|117
21|3|6393|53|143407|149800|51714|38437|14042|3729|6623|2129|6505|12230|5599|1761|289|296
9|4|5154|158|161240|166394|23989|23275|55719|5659|10140|4965|5115|7188|19312|4395|730|595
7|2|9369|60|150406|159775|15565|54290|33249|27396|5255|887|6113|2938|2361|2146|94|52
20|9|11280|142|132111|143391|34460|35228|35455|6394|3940|3591|4650||6072|1619|409|151
20|4|10333|93|116202|126535|25888|32092|31211|4996|5656|3077|6841||4200|1651|330|167
2|5|3458|124|140813|144271|48353|32532|24447|5991|3948|3426|5460|8571|5696|1611|457|197
20|8|12010|278|167052|179062|38898|39625|45791|10710|5379|5857|7350||10340|1992|585|247
30|6|4148|45|138886|143034|39266|44170|26059|3463|3527|4699|3750|6775|5045|1457|481|149
22|4|16095|195|207192|223287|81479|73801|24863|7704|4073|6129|5173||2650|788|239|98
16|11|12921|85|122788|135709|20541|39649|40453|5915|2382|1607|3589||5304|2753|399|111
26|5|7770|111|133858|141628|70395|46846|7532|1635|1949|1042|2176||1574|428|88|82
21|7|5406|53|134908|140314|25751|30164|21869|3134|5783|1965|18917|13313|9670|3532|448|309
