ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL|PRI_PVEM|PRD_PT_MC|PRD_PT|PRD_MC|PT_MC
14|6|8672|200|195370|204042|69983|62947|10952|6174|2556|20260|4419|13039|3557|409|471|403
19|3|10192|78|173037|183229|69485|66124|13741|4226|6688|1657|7236||2625|951|96|130
13|5|13062|88|172007|185069|37873|65424|35897|9522|3209|2297|6867||7700|2460|508|162
9|2|6306|188|173790|180096|46122|29941|50462|5534|7472|4244|4878|8042|13114|2807|627|359
20|1|9525|58|142743|152268|44288|43021|29213|3710|4328|6966|2816||6343|1293|497|210
1|2|14553|251|165333|179886|54480|50217|16450|8508|4163|3368|22429||4168|869|254|176
30|17|6069|79|189881|195950|85508|53903|20119|4058|2795|1940|3341|11491|4855|1307|336|149
30|11|5504|122|176161|181665|32465|52230|51971|3607|2903|2263|2819|11817|12112|3010|670|172
14|15|6631|66|159794|166425|52236|56831|12819|6241|5112|9524|4625|8877|1865|505|302|791
19|0|120661|995|1882937|2003598|725086|742444|136331|44922|78565|18377|96704||26562|10020|1251|1680
12|0|110342|583|1286653|1396995|119106|429201|461766|47514|46980|60644|26498||61994|22953|7497|1917
16|0|164006|1136|1475335|1639361|360556|519973|339532|78194|31828|19392|43545||51921|23856|4183|1239
2|0|103536|718|1141398|1244934|390622|326336|195424|49469|37475|26241|47723||48249|13690|3693|1758
16|6|15655|41|120078|135733|30223|42919|24460|6480|2310|1481|4707||4709|2182|444|122
14|16|6534|114|173204|179738|46328|56385|9818|7121|2651|26441|4960|13453|4278|479|607|569
30|2|5895|67|170021|175916|65326|62279|22102|4464|3314|744|2272|6509|1811|968|123|42
11|5|20373|112|176380|196753|90254|58287|7384|11158|1538|1386|5025||874|231|78|53
27|5|5926|78|185389|191315|15002|61001|75339|2536|3426|2357|2072|7070|10446|5301|608|153
16|10|18421|242|139417|157838|46600|49399|20230|8708|2787|2544|4381||3206|913|268|139
30|6|4304|36|139654|143958|47019|43698|22917|4093|2905|3367|2697|6735|4401|1269|417|100
19|7|7892|69|120349|128241|47622|45525|9906|2497|4910|1344|5289||2258|725|91|113
25|7|13187|74|132629|145816|23456|50797|16022|4202|4121|2467|25805||4269|948|281|187
9|13|5523|140|155272|160795|26064|26768|53031|5179|7057|4127|5100|8250|15144|3343|678|391
6|1|6102|122|160641|166743|54914|64848|13377|4707|6171|1825|3392|7812|2358|816|141|158
21|12|6351|184|178983|185334|64703|33509|28120|4757|8513|3815|9245|11493|11451|2266|465|462
9|10|7712|214|204725|212437|64695|37476|54038|6149|6577|4273|5167|8741|13657|2739|609|390
16|11|13489|95|122511|136000|21518|40362|38337|6254|2381|1677|3584||5093|2690|419|101
